Iteration,Total SSR Count,Source,Genome Size,SSR Density
1,38,Campylobacter Coli,1678432,0.022640178452269736
2,38,Campylobacter Coli,1678432,0.022640178452269736
3,37,Campylobacter Coli,1678432,0.022044384282473167
4,40,Campylobacter Coli,1678432,0.02383176679186288
5,39,Campylobacter Coli,1678432,0.02323597262206631
6,36,Campylobacter Coli,1678432,0.021448590112676594
7,39,Campylobacter Coli,1678432,0.02323597262206631
8,38,Campylobacter Coli,1678432,0.022640178452269736
9,36,Campylobacter Coli,1678432,0.021448590112676594
10,33,Campylobacter Coli,1678432,0.01966120760328688
11,38,Campylobacter Coli,1678432,0.022640178452269736
12,40,Campylobacter Coli,1678432,0.02383176679186288
13,37,Campylobacter Coli,1678432,0.022044384282473167
14,38,Campylobacter Coli,1678432,0.022640178452269736
15,37,Campylobacter Coli,1678432,0.022044384282473167
16,36,Campylobacter Coli,1678432,0.021448590112676594
17,38,Campylobacter Coli,1678432,0.022640178452269736
18,32,Campylobacter Coli,1678432,0.019065413433490306
19,55,Campylobacter Coli,1678432,0.03276867933881146
20,39,Campylobacter Coli,1678432,0.02323597262206631
21,37,Campylobacter Coli,1678432,0.022044384282473167
22,34,Campylobacter Coli,1678432,0.020257001773083448
23,39,Campylobacter Coli,1678432,0.02323597262206631
24,37,Campylobacter Coli,1678432,0.022044384282473167
25,37,Campylobacter Coli,1678432,0.022044384282473167
26,39,Campylobacter Coli,1678432,0.02323597262206631
27,38,Campylobacter Coli,1678432,0.022640178452269736
28,35,Campylobacter Coli,1678432,0.02085279594288002
29,37,Campylobacter Coli,1678432,0.022044384282473167
30,36,Campylobacter Coli,1678432,0.021448590112676594
31,38,Campylobacter Coli,1678432,0.022640178452269736
32,35,Campylobacter Coli,1678432,0.02085279594288002
33,38,Campylobacter Coli,1678432,0.022640178452269736
34,41,Campylobacter Coli,1678432,0.024427560961659454
35,37,Campylobacter Coli,1678432,0.022044384282473167
36,39,Campylobacter Coli,1678432,0.02323597262206631
37,36,Campylobacter Coli,1678432,0.021448590112676594
38,37,Campylobacter Coli,1678432,0.022044384282473167
39,36,Campylobacter Coli,1678432,0.021448590112676594
40,39,Campylobacter Coli,1678432,0.02323597262206631
41,37,Campylobacter Coli,1678432,0.022044384282473167
42,38,Campylobacter Coli,1678432,0.022640178452269736
43,37,Campylobacter Coli,1678432,0.022044384282473167
44,37,Campylobacter Coli,1678432,0.022044384282473167
45,40,Campylobacter Coli,1678432,0.02383176679186288
46,36,Campylobacter Coli,1678432,0.021448590112676594
47,37,Campylobacter Coli,1678432,0.022044384282473167
48,37,Campylobacter Coli,1678432,0.022044384282473167
49,36,Campylobacter Coli,1678432,0.021448590112676594
50,36,Campylobacter Coli,1678432,0.021448590112676594
51,34,Campylobacter Coli,1678432,0.020257001773083448
52,39,Campylobacter Coli,1678432,0.02323597262206631
53,36,Campylobacter Coli,1678432,0.021448590112676594
54,42,Campylobacter Coli,1678432,0.025023355131456024
